,,,,,,,,,,,,,,,
3. BANDA ANCHA FIJA MINORISTA   -   b) Datos por operador,,,,,,,,,,,,,,,
15. Líneas de banda ancha fija por tipo de operador,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Nov-2013,Dic-2013,Ene-2014,Feb-2014,Mar-2014,Abr-2014,May-2014,Jun-2014,Jul-2014,Ago-2014,Sep-2014,Oct-2014,Nov-2014,,
Telefónica,5702755,5711891,5718376,5723195,5724311,5711636,5713011,5724807,5731881,5725277,5735733,5742624,5743931,,
Operadores de cable,2133232,2129033,2140364,2150652,2162984,2169792,2175578,2173819,2159384,2155431,2187137,2215603,2229438,,
Resto,4335457,4378659,4439370,4493150,4540297,4579294,4612435,4665818,4688414,4737807,4801011,4865076,4917294,,
Total,12171444,12219583,12298110,12366997,12427592,12460722,12501024,12564444,12579679,12618515,12723881,12823303,12890663,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Última actualización 26/01/2015,,,,,,,,,,,,,,,
Extracción de datos 02/02/2015,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y de la Competencia ,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,
