actividad,cantidad,estatus,pais,genero
Beauty Salon,625,in_repayment,Kenya,F
Farming,3200,in_repayment,India,F
Personal Housing Expenses,800,paid,Nicaragua,F
Pigs,225,paid,Philippines,F
Cobbler,275,paid,Pakistan,F
Sewing,1500,in_repayment,Iraq,M
Butcher Shop,3000,in_repayment,Palestine,M
General Store,1000,in_repayment,Timor-Leste,F
Sewing,425,in_repayment,Pakistan,F
Restaurant,1000,in_repayment,Palestine,M
Grocery Store,3000,in_repayment,Palestine,M
General Store,275,paid,Philippines,F
Fruits & Vegetables,200,paid,Pakistan,F
Cosmetics Sales,450,paid,Pakistan,F
Higher education costs,3000,in_repayment,Iraq,M
Flowers,1000,in_repayment,Colombia,M
General Store,375,paid,Philippines,F
Sewing,425,paid,Mali,F
General Store,175,paid,Philippines,F
Food Stall,450,paid,Philippines,F
Fishing,675,paid,Philippines,F
Sewing,175,paid,Pakistan,F
General Store,600,paid,Uganda,M
Personal Housing Expenses,200,in_repayment,El Salvador,F
Fruits & Vegetables,300,paid,Philippines,F
Fish Selling,125,paid,Philippines,F
Fishing,350,paid,Philippines,F
Food Production/Sales,325,paid,Philippines,F
General Store,225,paid,Philippines,F
Personal Housing Expenses,1125,paid,Ecuador,F
Livestock,525,in_repayment,Pakistan,F
Cereals,600,paid,Uganda,M
Fuel/Firewood,500,paid,Guatemala,F
Services,2225,in_repayment,Tanzania,F
Farming,200,in_repayment,Philippines,F
General Store,500,in_repayment,Philippines,F
Motorcycle Transport,325,paid,Philippines,F
General Store,325,paid,Philippines,F
Liquor Store / Off-License,600,paid,Uganda,M
Taxi,975,paid,Mongolia,M
Clothing Sales,575,in_repayment,Mongolia,F
Services,300,paid,Philippines,F
Sewing,1475,in_repayment,Colombia,F
Grocery Store,1975,in_repayment,Colombia,M
Bricks,125,paid,Kenya,M
Home Energy,825,in_repayment,Kenya,F
Hotel,800,in_repayment,Kenya,F
Farming,800,in_repayment,Uganda,F
Farming,1725,in_repayment,Cambodia,F
General Store,450,paid,Philippines,F
General Store,225,paid,Philippines,F
Cereals,250,paid,Kenya,M
Food Production/Sales,175,paid,Kenya,F
Beauty Salon,250,paid,Kenya,F
Beauty Salon,250,in_repayment,Kenya,F
Pub,250,paid,Uganda,F
Food Market,500,in_repayment,Ecuador,F
Cereals,1750,paid,Uganda,F
Fishing,225,paid,Philippines,F
Fishing,175,paid,Philippines,F
Services,375,in_repayment,Kenya,F
Manufacturing,425,in_repayment,Kenya,F
Fish Selling,200,in_repayment,Kenya,F
Used Clothing,375,in_repayment,Kenya,F
Farming,125,in_repayment,Kenya,M
Farming,850,in_repayment,Kenya,M
General Store,400,in_repayment,Uganda,F
Farming,500,in_repayment,Kenya,M
Grocery Store,350,paid,Cambodia,F
Farming,575,in_repayment,Cambodia,F
Farming,1100,in_repayment,Cambodia,F
Furniture Making,375,paid,Peru,F
Hardware,375,paid,Peru,M
Primary/secondary school costs,600,paid,Kenya,F
Food Production/Sales,450,paid,Philippines,F
Food Production/Sales,350,paid,Philippines,F
Food Production/Sales,50,paid,Philippines,F
Primary/secondary school costs,1800,paid,Uganda,F
Farming,1875,in_repayment,Uganda,F
Farming,675,in_repayment,Cambodia,F
Rickshaw,525,in_repayment,Pakistan,F
Fruits & Vegetables,600,in_repayment,Kenya,F
Retail,175,paid,Kenya,M
General Store,250,in_repayment,Kenya,F
Clothing Sales,775,paid,Tanzania,F
Fruits & Vegetables,300,in_repayment,El Salvador,F
Retail,250,in_repayment,Kenya,M
Grocery Store,975,in_repayment,Kenya,M
Beauty Salon,3475,paid,Tanzania,F
Agriculture,525,paid,Guatemala,F
Cosmetics Sales,500,paid,Uganda,F
Grocery Store,350,in_repayment,Philippines,F
Clothing Sales,475,in_repayment,Kenya,F
Farming,600,in_repayment,Kenya,F
Food Production/Sales,325,paid,Philippines,F
Pigs,150,paid,Philippines,F
Charcoal Sales,750,in_repayment,Kenya,F
Higher education costs,375,paid,Colombia,F
Wedding Expenses,1500,in_repayment,Cambodia,F
Farming,1500,in_repayment,Cambodia,F
Embroidery,1075,in_repayment,Pakistan,F
Grocery Store,2700,paid,Peru,F
Farming,1000,paid,Cambodia,F
Food Stall,250,in_repayment,Kenya,F
Bakery,550,paid,Guatemala,F
Food Stall,2450,in_repayment,India,F
Tailoring,375,paid,Turkey,F
Arts,375,paid,Turkey,F
Fruits & Vegetables,400,in_repayment,Pakistan,F
Agriculture,1200,in_repayment,Uganda,M
Cafe,475,in_repayment,Kenya,F
Taxi,425,in_repayment,Senegal,M
Retail,3000,in_repayment,Palestine,F
Motorcycle Repair,1500,in_repayment,Lebanon,M
Poultry,200,paid,El Salvador,F
Home Products Sales,750,in_repayment,Jordan,F
Rickshaw,275,in_repayment,Pakistan,F
Taxi,475,in_repayment,Yemen,M
Fruits & Vegetables,625,in_repayment,Pakistan,F
Embroidery,525,in_repayment,Pakistan,F
Animal Sales,825,in_repayment,India,F
Grocery Store,4525,paid,Peru,F
Higher education costs,1000,in_repayment,Mongolia,M
Personal Housing Expenses,1000,in_repayment,Mongolia,M
Catering,900,in_repayment,Peru,F
General Store,125,paid,Philippines,F
Pigs,125,paid,Philippines,F
Construction Supplies,600,in_repayment,Kenya,F
Tailoring,375,paid,Turkey,F
Manufacturing,2000,in_repayment,Mongolia,M
Food Market,1300,paid,Peru,F
Food Stall,900,paid,Tanzania,F
Construction Supplies,200,paid,Peru,M
Personal Purchases,1025,paid,Bolivia,M
Higher education costs,1025,paid,Bolivia,M
Food Stall,1450,paid,Bolivia,F
Retail,800,paid,Peru,M
Retail,225,paid,Philippines,F
Transportation,175,paid,Philippines,F
Retail,575,paid,Philippines,F
Fish Selling,275,paid,Philippines,F
Clothing Sales,1500,in_repayment,Ecuador,F
Pigs,500,in_repayment,Ecuador,F
Farming,1850,in_repayment,Kyrgyzstan,F
Arts,375,paid,Turkey,F
Food Stall,250,in_repayment,Kenya,F
Higher education costs,375,paid,Colombia,F
Beauty Salon,375,paid,Turkey,F
Jewelry,375,paid,Turkey,F
Transportation,725,in_repayment,Peru,M
Dairy,1075,paid,Peru,F
Agriculture,725,paid,Peru,F
Motorcycle Transport,200,paid,Peru,M
Animal Sales,700,paid,Ecuador,F
Cattle,700,paid,Ecuador,M
Soft Drinks,375,in_repayment,Yemen,F
Services,600,in_repayment,Bolivia,F
Dairy,1175,in_repayment,Bolivia,M
Food Market,1050,paid,Tajikistan,M
Animal Sales,375,in_repayment,Peru,M
Higher education costs,375,paid,Colombia,F
Clothing,375,in_repayment,Bolivia,F
Agriculture,1450,in_repayment,Honduras,F
Clothing Sales,1100,in_repayment,Costa Rica,F
Grocery Store,775,in_repayment,Guatemala,F
General Store,350,paid,Philippines,F
Livestock,900,in_repayment,Ecuador,F
Personal Housing Expenses,800,in_repayment,Bolivia,F
Cloth & Dressmaking Supplies,375,paid,Peru,F
Weaving,525,paid,Guatemala,F
Rickshaw,1075,in_repayment,Peru,M
Fish Selling,225,paid,Philippines,F
Personal Purchases,725,in_repayment,Armenia,F
Personal Products Sales,750,paid,Colombia,F
Agriculture,1300,in_repayment,Ecuador,M
Livestock,700,in_repayment,Ecuador,M
Laundry,1500,in_repayment,Tajikistan,F
Fuel/Firewood,225,paid,Philippines,F
Food Market,600,in_repayment,Kenya,F
Retail,1575,in_repayment,Guatemala,F
Cattle,2100,in_repayment,Tajikistan,F
Clothing Sales,3025,paid,Peru,F
Food Stall,350,in_repayment,Kenya,F
Food Production/Sales,525,paid,Guatemala,F
Farming,500,in_repayment,El Salvador,M
General Store,350,in_repayment,Philippines,M
Agriculture,1500,in_repayment,Honduras,F
Food Production/Sales,150,paid,El Salvador,F
Retail,150,in_repayment,El Salvador,F
Fruits & Vegetables,150,in_repayment,El Salvador,F
Personal Housing Expenses,650,in_repayment,El Salvador,F
Personal Housing Expenses,650,in_repayment,El Salvador,F
Cattle,2000,in_repayment,Tajikistan,F
Vehicle Repairs,2350,paid,Mexico,F
Clothing Sales,175,paid,Honduras,F
Personal Housing Expenses,350,in_repayment,El Salvador,F
Grocery Store,500,paid,El Salvador,F
Higher education costs,0,refunded,Dominican Republic,F
Higher education costs,750,paid,Bolivia,F
Higher education costs,1825,paid,Bolivia,M
Higher education costs,1000,paid,Bolivia,M
Farming,1500,in_repayment,Honduras,F
Charcoal Sales,350,in_repayment,Kenya,F
Farm Supplies,800,in_repayment,Uganda,M
Used Clothing,300,in_repayment,Georgia,F
Cattle,500,in_repayment,Tajikistan,M
Sewing,550,in_repayment,Peru,F
Animal Sales,1375,paid,Tajikistan,M
Pigs,675,paid,Philippines,F
Personal Housing Expenses,1200,in_repayment,Nicaragua,F
Charcoal Sales,400,paid,Philippines,F
Arts,375,paid,Turkey,F
Animal Sales,1575,paid,Tajikistan,F
Pigs,350,paid,Philippines,F
Food Stall,575,in_repayment,Yemen,F
Retail,250,paid,Philippines,F
Restaurant,1000,in_repayment,Lebanon,F
General Store,575,paid,Philippines,F
Flowers,2725,paid,Colombia,M
Beauty Salon,800,in_repayment,Uganda,F
Clothing Sales,1050,in_repayment,Tajikistan,F
Fruits & Vegetables,250,in_repayment,Kenya,F
Cafe,350,in_repayment,Kenya,F
